sessions,n_sessions,erp,scale,horizon,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target,eg_risk
300+930+2000,3,0.8,True,84,0.0,0.165,0.1626,-2940.0,579.7359000000001,1.684,10.962,4.992,1600.0
300+930+2000,3,0.9,True,84,0.0,0.165,0.1626,-2940.0,579.7359000000001,1.684,10.962,4.992,1800.0
300+930+2000,3,0.7,True,84,0.0,0.1482,0.1456,-2940.0,271.74267499999996,1.508,10.81,4.856,1400.0
300,1,0.4,True,84,0.0,0.1482,0.1464,-2940.0,70.13360000000011,1.526,9.314,3.312,800.0
300,1,0.4,False,84,0.0,0.1482,0.1464,-2940.0,70.13360000000011,1.526,9.314,3.312,800.0
300+930,2,0.3,False,84,0.0,0.1358,0.1334,-2940.0,13.970899999999801,1.39,10.58,4.458,1200.0
300+930,2,0.5,True,84,0.0,0.1358,0.1334,-2940.0,13.970899999999801,1.39,10.58,4.458,1000.0
300+930,2,0.6,True,84,0.0,0.1358,0.1334,-2940.0,13.970899999999801,1.39,10.58,4.458,1200.0
300+930+2000,3,0.2,False,84,0.0,0.1322,0.1302,-2940.0,-0.876850000000104,1.344,10.828,4.716,1200.0
300+930+2000,3,0.6,True,84,0.0,0.1322,0.1302,-2940.0,-0.876850000000104,1.344,10.828,4.716,1200.0
2000,1,0.5,True,84,0.0,0.1216,0.121,-2940.0,-384.3068250000001,1.244,9.564,3.432,1000.0
2000,1,0.5,False,84,0.0,0.1216,0.121,-2940.0,-384.3068250000001,1.244,9.564,3.432,1000.0
2000,1,0.6,True,84,0.0,0.1216,0.121,-2940.0,-384.3068250000001,1.244,9.564,3.432,1200.0
2000,1,0.6,False,84,0.0,0.1216,0.121,-2940.0,-384.3068250000001,1.244,9.564,3.432,1200.0
300+930+2000,3,0.5,True,84,0.0,0.1022,0.101,-2940.0,-476.4446499999999,1.034,10.48,4.362,1000.0
930+2000,2,0.3,False,84,0.0,0.0964,0.0952,-2940.0,-582.1349749999999,0.992,10.238,4.056,1200.0
930+2000,2,0.5,True,84,0.0,0.0964,0.0952,-2940.0,-582.1349749999999,0.992,10.238,4.056,1000.0
930+2000,2,0.6,True,84,0.0,0.0964,0.0952,-2940.0,-582.1349749999999,0.992,10.238,4.056,1200.0
300+930,2,0.2,False,84,0.0,0.0986,0.0974,-2940.0,-617.3516500000001,0.998,10.024,3.96,800.0
300+930,2,0.4,True,84,0.0,0.0986,0.0974,-2940.0,-617.3516500000001,0.998,10.024,3.96,800.0
300+930+2000,3,0.1,True,84,0.0,0.0,0.0,-980.0,-986.2719999999999,0.0,0.12,0.0,200.0
930+2000,2,0.1,True,84,0.0,0.0,0.0,-980.0,-1004.5,0.0,0.278,0.0,200.0
300+2000,2,0.1,True,84,0.0,0.0,0.0,-980.0,-1046.248,0.0,0.496,0.002,200.0
