sessions,n_sessions,erp,scale,horizon,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target,eg_risk
300+2000,2,0.9,True,84,0.0,0.0766,0.076,-2940.0,-1160.1273,0.768,9.874,3.896,1800.0
930+2000,2,0.1,False,84,0.0,0.0,0.0,-980.0,-1194.816,0.0,2.024,0.032,400.0
930+2000,2,0.2,True,84,0.0,0.0,0.0,-980.0,-1194.816,0.0,2.024,0.032,400.0
2000,1,0.2,True,84,0.0,0.0,0.0,-980.0,-1212.064,0.0,1.542,0.018,400.0
2000,1,0.2,False,84,0.0,0.0,0.0,-980.0,-1212.064,0.0,1.542,0.018,400.0
2000,1,0.3,True,84,0.0,0.0,0.0,-980.0,-1212.064,0.0,1.542,0.018,600.0
2000,1,0.3,False,84,0.0,0.0,0.0,-980.0,-1212.064,0.0,1.542,0.018,600.0
300,1,0.1,True,84,0.0,0.0,0.0,-980.0,-1283.604,0.0,1.772,0.05,200.0
300,1,0.1,False,84,0.0,0.0,0.0,-980.0,-1283.604,0.0,1.772,0.05,200.0
300,1,0.5,True,84,0.0,0.0718,0.0716,-2940.0,-1307.02805,0.738,8.904,3.008,1000.0
300,1,0.5,False,84,0.0,0.0718,0.0716,-2940.0,-1307.02805,0.738,8.904,3.008,1000.0
300,1,0.6,True,84,0.0,0.0718,0.0716,-2940.0,-1307.02805,0.738,8.904,3.008,1200.0
300,1,0.6,False,84,0.0,0.0718,0.0716,-2940.0,-1307.02805,0.738,8.904,3.008,1200.0
300+2000,2,0.1,False,84,0.0,0.0002,0.0002,-980.0,-1382.6274,0.002,3.052,0.158,400.0
300+2000,2,0.2,True,84,0.0,0.0002,0.0002,-980.0,-1382.6274,0.002,3.052,0.158,400.0
2000,1,0.7,True,84,0.0,0.0584,0.0584,-2940.0,-1417.0777,0.584,10.266,4.088,1400.0
2000,1,0.7,False,84,0.0,0.0584,0.0584,-2940.0,-1417.0777,0.584,10.266,4.088,1400.0
2000,1,0.8,True,84,0.0,0.0584,0.0584,-2940.0,-1417.0777,0.584,10.266,4.088,1600.0
2000,1,0.8,False,84,0.0,0.0584,0.0584,-2940.0,-1417.0777,0.584,10.266,4.088,1600.0
2000,1,0.9,True,84,0.0,0.0584,0.0584,-2940.0,-1417.0777,0.584,10.266,4.088,1800.0
2000,1,0.9,False,84,0.0,0.0584,0.0584,-2940.0,-1417.0777,0.584,10.266,4.088,1800.0
2000,1,1.0,True,84,0.0,0.0584,0.0584,-2940.0,-1417.0777,0.584,10.266,4.088,2000.0
2000,1,1.0,False,84,0.0,0.0584,0.0584,-2940.0,-1417.0777,0.584,10.266,4.088,2000.0
300+930,2,0.1,False,84,0.0,0.0008,0.0008,-980.0,-1453.844,0.008,3.8,0.356,400.0
300+930,2,0.2,True,84,0.0,0.0008,0.0008,-980.0,-1453.844,0.008,3.8,0.356,400.0
300+930+2000,3,0.1,False,84,0.0,0.0014,0.0014,-980.0,-1517.3737,0.014,4.934,0.65,600.0
300+930+2000,3,0.3,True,84,0.0,0.0014,0.0014,-980.0,-1517.3737,0.014,4.934,0.65,600.0
300+930+2000,3,0.3,False,84,0.0,0.0434,0.0432,-2940.0,-1555.5847,0.436,10.376,4.208,1800.0
300+930+2000,3,0.8,True,84,0.0,0.0434,0.0432,-2940.0,-1555.5847,0.436,10.376,4.208,1600.0
300+930+2000,3,0.9,True,84,0.0,0.0434,0.0432,-2940.0,-1555.5847,0.436,10.376,4.208,1800.0
930,1,0.5,True,84,0.0,0.056,0.056,-2940.0,-1564.0803,0.566,9.13,3.316,1000.0
930,1,0.5,False,84,0.0,0.056,0.056,-2940.0,-1564.0803,0.566,9.13,3.316,1000.0
930,1,0.6,True,84,0.0,0.056,0.056,-2940.0,-1564.0803,0.566,9.13,3.316,1200.0
930,1,0.6,False,84,0.0,0.056,0.056,-2940.0,-1564.0803,0.566,9.13,3.316,1200.0
930,1,0.7,True,84,0.0,0.056,0.056,-2940.0,-1564.0803,0.566,9.13,3.316,1400.0
930,1,0.7,False,84,0.0,0.056,0.056,-2940.0,-1564.0803,0.566,9.13,3.316,1400.0
930+2000,2,0.3,True,84,0.0,0.0008,0.0008,-980.0,-1567.516,0.008,4.996,0.66,600.0
930+2000,2,0.4,False,84,0.0,0.0406,0.0406,-2940.0,-1576.2521,0.408,10.164,4.032,1600.0
930+2000,2,0.7,True,84,0.0,0.0406,0.0406,-2940.0,-1576.2521,0.408,10.164,4.032,1400.0
930+2000,2,0.8,True,84,0.0,0.0406,0.0406,-2940.0,-1576.2521,0.408,10.164,4.032,1600.0
930+2000,2,0.9,True,84,0.0,0.0406,0.0406,-2940.0,-1576.2521,0.408,10.164,4.032,1800.0
300+930+2000,3,0.7,True,84,0.0,0.0384,0.0382,-2940.0,-1596.2517,0.386,9.998,3.952,1400.0
300+930+2000,3,0.2,False,84,0.0,0.0326,0.0324,-2940.0,-1657.77905,0.328,9.73,3.76,1200.0
300+930+2000,3,0.6,True,84,0.0,0.0326,0.0324,-2940.0,-1657.77905,0.328,9.73,3.76,1200.0
