combo_id,rr_ratio,sl_atr_multiplier,breakeven_r,atr_vol_filter,require_daily_momentum,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
be572750efa6,1.0,1.5,0.0,1.0,True,152,0.5592,0.114,0.5,10.9132,50K,fixed_dollar,0.4,0.6,0.45,13.08
58d018b740bd,1.0,1.5,0.5,0.0,False,363,0.5647,0.1335,0.5,13.5398,50K,fixed_dollar,0.4,0.6,0.492,12.74
dc0325b0874a,1.0,1.5,0.5,0.0,True,159,0.566,0.1328,0.5,13.1107,50K,pct_balance,0.6,0.6,0.421,12.68
5532ac071f22,1.0,1.5,0.5,1.0,False,342,0.5702,0.1414,0.5,14.4258,50K,fixed_dollar,0.4,0.6,0.489,13.22
b31f8ead4e36,1.0,1.5,0.5,1.0,True,152,0.5592,0.114,0.5,10.9132,50K,fixed_dollar,0.4,0.6,0.45,12.44
506fa5d11113,1.0,1.5,1.0,0.0,False,363,0.5647,0.1335,0.5,13.5398,50K,fixed_dollar,0.4,0.6,0.492,12.63
48ed0d5ad18b,1.0,1.5,1.0,0.0,True,159,0.566,0.1328,0.5,13.1107,50K,pct_balance,0.6,0.6,0.421,12.58
9866de89c06d,1.0,1.5,1.0,1.0,False,342,0.5702,0.1414,0.5,14.4258,50K,fixed_dollar,0.4,0.6,0.489,12.91
8b882572c914,1.0,1.5,1.0,1.0,True,152,0.5592,0.114,0.5,10.9132,50K,fixed_dollar,0.4,0.6,0.45,12.84
7cdc6b8a3aa1,1.25,0.75,0.0,0.0,False,370,0.5054,0.131,0.5,9.8935,50K,pct_balance,0.4,0.6,0.45,12.84
431ae8255033,1.25,0.75,0.0,0.0,True,165,0.4485,-0.0017,0.5,-1.4618,50K,fixed_dollar,0.2,0.6,0.277,13.15
ec4a7729312a,1.25,0.75,0.0,1.0,False,347,0.4986,0.1165,0.5,8.2858,50K,fixed_dollar,0.4,0.6,0.446,12.61
7919c06860d8,1.25,0.75,0.0,1.0,True,155,0.4387,-0.024,0.5,-2.2476,50K,pct_balance,0.2,0.6,0.258,13.93
6bbde73fb391,1.25,0.75,0.5,0.0,False,370,0.5054,0.131,0.5,9.8935,50K,pct_balance,0.4,0.6,0.45,13.93
0f6de3cb0411,1.25,0.75,0.5,0.0,True,165,0.4485,-0.0017,0.5,-1.4618,50K,fixed_dollar,0.2,0.6,0.277,13.52
66b64f864e8e,1.25,0.75,0.5,1.0,False,347,0.4986,0.1165,0.5,8.2858,50K,fixed_dollar,0.4,0.6,0.446,13.78
8bdea4162369,1.25,0.75,0.5,1.0,True,155,0.4387,-0.024,0.5,-2.2476,50K,pct_balance,0.2,0.6,0.258,13.51
4f35a42ace70,1.25,0.75,1.0,0.0,False,370,0.5054,0.131,0.5,9.8935,50K,pct_balance,0.4,0.6,0.45,13.88
d761dd745cf8,1.25,0.75,1.0,0.0,True,165,0.4485,-0.0017,0.5,-1.4618,50K,fixed_dollar,0.2,0.6,0.277,13.92
5d4adc41c67f,1.25,0.75,1.0,1.0,False,347,0.4986,0.1165,0.5,8.2858,50K,fixed_dollar,0.4,0.6,0.446,14.2
b8468bc68f48,1.25,0.75,1.0,1.0,True,155,0.4387,-0.024,0.5,-2.2476,50K,pct_balance,0.2,0.6,0.258,13.43
6dda9f633096,1.25,1.0,0.0,0.0,False,367,0.515,0.1569,0.5,13.5314,150K,pct_balance,0.4,0.4,0.398,13.73
8ed14f057f11,1.25,1.0,0.0,0.0,True,164,0.4817,0.0763,0.5,6.3498,50K,fixed_dollar,0.4,0.6,0.398,13.21
0e2fb99bda4f,1.25,1.0,0.0,1.0,False,347,0.5159,0.1572,0.5,13.942,50K,fixed_dollar,0.4,0.6,0.484,12.7
579ded79d1b0,1.25,1.0,0.0,1.0,True,155,0.4774,0.062,0.5,3.5114,50K,pct_balance,0.4,0.6,0.371,12.74
ec7fc9c6b078,1.25,1.0,0.5,0.0,False,367,0.515,0.1569,0.5,13.5314,150K,pct_balance,0.4,0.4,0.398,12.76
f7a0b5965419,1.25,1.0,0.5,0.0,True,164,0.4817,0.0763,0.5,6.3498,50K,fixed_dollar,0.4,0.6,0.398,12.66
