combo_id,allowed_sessions,rr_ratio,require_bos,momentum_only,disp_min_atr_mult,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
23d0db0eabd4,Asia+London+NY,0.75,False,False,1.0,772,0.4702,-0.0218,0.8502,-1.2043,50K,fixed_dollar,0.2,0.6,0.056,9.03
68c3f67d09ba,Asia+London+NY,0.75,False,False,2.0,660,0.453,-0.1007,0.5,-1.8197,50K,floor_aware,0.2,0.2,0.038,11.1
f3ae782f3257,Asia+London+NY,1.0,True,True,0.0,701,0.4351,-0.0725,0.7703,-1.5065,50K,floor_aware,0.2,0.2,0.036,11.99
d36bbf17fb4d,Asia+London+NY,1.0,True,True,1.0,724,0.4599,-0.0445,0.5,-1.2925,50K,fixed_dollar,0.4,0.6,0.126,9.59
ac049ce64db5,Asia+London+NY,1.0,True,True,2.0,1023,0.4897,-0.0112,0.5,-1.8683,50K,fixed_dollar,0.2,0.2,0.258,10.98
cc1d8b214e2c,Asia+London+NY,1.0,True,False,0.0,690,0.4217,-0.0791,0.7582,-1.6862,50K,floor_aware,0.2,0.2,0.016,12.87
cd50962687d9,Asia+London+NY,1.0,True,False,1.0,733,0.4529,-0.0384,0.5,-1.3516,50K,floor_aware,0.2,0.2,0.052,9.64
f6f743768c0c,Asia+London+NY,1.0,True,False,2.0,932,0.4807,-0.0277,0.5,-2.0796,50K,floor_aware,0.2,0.2,0.162,10.08
2d0c29f5ef45,Asia+London+NY,1.0,False,True,0.0,787,0.474,-0.0025,0.5,-1.3358,50K,floor_aware,0.4,0.2,0.056,9.3
0b0290f91696,Asia+London+NY,1.0,False,True,1.0,772,0.4767,-0.0009,0.8502,-1.1858,50K,floor_aware,0.2,0.2,0.126,10.31
f30e2cc0d710,Asia+London+NY,1.0,False,True,2.0,723,0.4647,-0.0467,0.5,-1.767,50K,fixed_dollar,0.2,0.4,0.092,10.68
0e09f515277c,Asia+London+NY,1.0,False,False,0.0,766,0.4543,-0.0338,0.8436,-1.5973,50K,floor_aware,0.4,0.2,0.068,9.68
c5db2b11a901,Asia+London+NY,1.0,False,False,1.0,767,0.4602,-0.0229,0.8447,-1.344,50K,floor_aware,0.2,0.2,0.086,9.97
8c3b5c3eaf4e,Asia+London+NY,1.0,False,False,2.0,692,0.4523,-0.0639,0.5,-1.7137,50K,floor_aware,0.2,0.2,0.088,10.01
3bd9433fdb71,Asia+London+NY,1.25,True,True,0.0,710,0.4085,-0.0619,0.7802,-1.7271,50K,fixed_dollar,0.2,0.4,0.086,10.81
411ebcb52de2,Asia+London+NY,1.25,True,True,1.0,731,0.4213,-0.042,0.5,-1.3756,50K,floor_aware,0.4,0.6,0.15,11.3
6733830aaaf6,Asia+London+NY,1.25,True,True,2.0,1130,0.446,0.0088,0.5,-1.1846,50K,fixed_dollar,0.2,0.4,0.34,9.59
a9c913f12dfb,Asia+London+NY,1.25,True,False,0.0,698,0.4011,-0.0612,0.767,-1.7649,50K,floor_aware,0.2,0.2,0.046,8.63
82df52bf28f7,Asia+London+NY,1.25,True,False,1.0,674,0.3947,-0.0875,0.7407,-1.9354,50K,fixed_dollar,0.2,0.6,0.04,10.96
31159a276431,Asia+London+NY,1.25,True,False,2.0,983,0.4334,-0.0171,0.5,-2.1503,50K,floor_aware,0.2,0.2,0.232,11.5
467b50cc030f,Asia+London+NY,1.25,False,True,0.0,788,0.4429,0.0042,0.5,-1.3541,50K,floor_aware,0.4,0.2,0.088,8.86
8be14f98ab5a,Asia+London+NY,1.25,False,True,1.0,788,0.4454,0.0122,0.5,-1.2326,50K,floor_aware,0.2,0.4,0.122,17.45
145487d221cb,Asia+London+NY,1.25,False,True,2.0,787,0.4346,-0.0135,0.5,-1.6539,50K,fixed_dollar,0.4,0.6,0.204,16.05
d7716bff325e,Asia+London+NY,1.25,False,False,0.0,790,0.4367,-0.0087,0.5,-1.3939,50K,floor_aware,0.2,0.2,0.076,23.18
628bdae0892c,Asia+London+NY,1.25,False,False,1.0,791,0.4437,0.0131,0.5,-1.2594,50K,floor_aware,0.2,0.2,0.122,20.31
dd1987c986d9,Asia+London+NY,1.25,False,False,2.0,713,0.4236,-0.0371,0.5,-1.8953,50K,floor_aware,0.2,0.2,0.102,17.96
458d505ded97,Asia+London+NY,1.5,True,True,0.0,687,0.3595,-0.0761,0.7549,-1.9734,50K,fixed_dollar,0.2,0.2,0.068,18.74
79895922012f,Asia+London+NY,1.5,True,True,1.0,709,0.3724,-0.0583,0.5,-1.7889,50K,floor_aware,0.6,0.6,0.122,20.15
6db70b7b7168,Asia+London+NY,1.5,True,True,2.0,1177,0.4044,0.0136,0.5,-1.7227,50K,fixed_dollar,0.2,0.4,0.298,13.48
8af33de2db51,Asia+London+NY,1.5,True,False,0.0,686,0.3542,-0.0869,0.7538,-2.2016,50K,floor_aware,0.2,0.2,0.044,22.05
df74bdbc6139,Asia+London+NY,1.5,True,False,1.0,659,0.349,-0.1094,0.7242,-2.3701,50K,floor_aware,0.6,0.2,0.05,14.5
c1d91e317a5b,Asia+London+NY,1.5,True,False,2.0,1057,0.3964,-0.0032,0.5,-1.675,50K,fixed_dollar,0.4,0.4,0.322,14.36
06aa86bf18c5,Asia+London+NY,1.5,False,True,0.0,788,0.4036,0.0133,0.5,-1.2564,50K,floor_aware,0.4,0.2,0.16,14.54
08f1c8e45f15,Asia+London+NY,1.5,False,True,1.0,792,0.4091,0.0251,0.5,-1.1023,50K,floor_aware,0.2,0.6,0.212,16.1
e0602c2f40e5,Asia+London+NY,1.5,False,True,2.0,797,0.3965,-0.0053,0.5,-1.6329,50K,fixed_dollar,0.6,0.4,0.29,12.48
050543d23f76,Asia+London+NY,1.5,False,False,0.0,781,0.3905,-0.0192,0.5,-1.4675,50K,floor_aware,0.2,0.2,0.1,9.19
4861dfda85bb,Asia+London+NY,1.5,False,False,1.0,797,0.4078,0.0264,0.5,-1.0862,50K,fixed_dollar,0.6,0.2,0.22,8.57
